ENDERECO_L;COD_MUNIC_;NUM_ZONA;NUM_SECAO;COD_LOCALV;NM_BAIRRO;NR_LOCAL_V;NM_LOCALVO;COD_MUNI_1;NM_MUNIC_I;NUM_CEP;lon;lat;CD_GEOCODB;NM_BAIRR_1
ALAMEDA DAS FALCATAS 505;41238;31;106;13420;SAO LUIZ (PAMPULHA);1171;COLEGIO SANTA MARCELINA;3106200;BELO HORIZONTE;31275070;-43,9661994;-19,8571576;3,1062E+11;Sao Luiz
ALAMEDA DAS FALCATAS 505;41238;31;96;13420;SAO LUIZ (PAMPULHA);1171;COLEGIO SANTA MARCELINA;3106200;BELO HORIZONTE;31275070;-43,9661994;-19,8571576;3,1062E+11;Sao Luiz
ALAMEDA DAS FALCATAS 505;41238;31;149;13420;SAO LUIZ (PAMPULHA);1171;COLEGIO SANTA MARCELINA;3106200;BELO HORIZONTE;31275070;-43,9661994;-19,8571576;3,1062E+11;Sao Luiz
ALAMEDA DAS FALCATAS 505;41238;31;95;13420;SAO LUIZ (PAMPULHA);1171;COLEGIO SANTA MARCELINA;3106200;BELO HORIZONTE;31275070;-43,9661994;-19,8571576;3,1062E+11;Sao Luiz
ALAMEDA DAS FALCATAS 505;41238;31;94;13420;SAO LUIZ (PAMPULHA);1171;COLEGIO SANTA MARCELINA;3106200;BELO HORIZONTE;31275070;-43,9661994;-19,8571576;3,1062E+11;Sao Luiz
ALAMEDA DAS FALCATAS 505;41238;31;97;13420;SAO LUIZ (PAMPULHA);1171;COLEGIO SANTA MARCELINA;3106200;BELO HORIZONTE;31275070;-43,9661994;-19,8571576;3,1062E+11;Sao Luiz
ALAMEDA DAS FALCATAS 505;41238;31;101;13420;SAO LUIZ (PAMPULHA);1171;COLEGIO SANTA MARCELINA;3106200;BELO HORIZONTE;31275070;-43,9661994;-19,8571576;3,1062E+11;Sao Luiz
ALAMEDA DAS FALCATAS 505;41238;31;100;13420;SAO LUIZ (PAMPULHA);1171;COLEGIO SANTA MARCELINA;3106200;BELO HORIZONTE;31275070;-43,9661994;-19,8571576;3,1062E+11;Sao Luiz
ALAMEDA DAS FALCATAS 505;41238;31;98;13420;SAO LUIZ (PAMPULHA);1171;COLEGIO SANTA MARCELINA;3106200;BELO HORIZONTE;31275070;-43,9661994;-19,8571576;3,1062E+11;Sao Luiz
ALAMEDA DAS FALCATAS 505;41238;31;102;13420;SAO LUIZ (PAMPULHA);1171;COLEGIO SANTA MARCELINA;3106200;BELO HORIZONTE;31275070;-43,9661994;-19,8571576;3,1062E+11;Sao Luiz
ALAMEDA DAS FALCATAS 505;41238;31;99;13420;SAO LUIZ (PAMPULHA);1171;COLEGIO SANTA MARCELINA;3106200;BELO HORIZONTE;31275070;-43,9661994;-19,8571576;3,1062E+11;Sao Luiz
AV .CONCEICAO DO PARA  , 1726;41238;26;219;13504;SANTA INES;1350;E. M. EMIDIO BERUTTO;3106200;BELO HORIZONTE;31080020;-43,9111274;-19,8800723;3,1062E+11;Santa Ines
