DS_ENDEREC;CD_LOCALID;NM_LOCALID;NR_ZONA;NR_SECAO;NM_BAIRRO_;NR_LOCAL_V;NM_LOCAL_V;CD_CEP_LOC;lon;lat;CD_GEOCODB;NM_BAIRRO
RUA BREJO NOVO 153;60011;RIO DE JANEIRO;162;31;CORDOVIL;1066;ACAO COMUNITARIA DO BRASIL;21010210;-43,293263;-22,81924;3,30456E+11;Cordovil
RUA BREJO NOVO 153;60011;RIO DE JANEIRO;162;32;CORDOVIL;1066;ACAO COMUNITARIA DO BRASIL;21010210;-43,293263;-22,81924;3,30456E+11;Cordovil
RUA BREJO NOVO 153;60011;RIO DE JANEIRO;162;30;CORDOVIL;1066;ACAO COMUNITARIA DO BRASIL;21010210;-43,293263;-22,81924;3,30456E+11;Cordovil
RUA BREJO NOVO 153;60011;RIO DE JANEIRO;162;28;CORDOVIL;1066;ACAO COMUNITARIA DO BRASIL;21010210;-43,293263;-22,81924;3,30456E+11;Cordovil
RUA BREJO NOVO 153;60011;RIO DE JANEIRO;162;29;CORDOVIL;1066;ACAO COMUNITARIA DO BRASIL;21010210;-43,293263;-22,81924;3,30456E+11;Cordovil
AV. SARGENTO DE MILICIAS S/N - XXV RA;60011;RIO DE JANEIRO;167;82;PAVUNA;1171;AGENCIA DO TRABALHO DA PAVUNA;21525470;-43,362848;-22,805118;3,30456E+11;Pavuna
AV. SARGENTO DE MILICIAS S/N - XXV RA;60011;RIO DE JANEIRO;167;130;PAVUNA;1171;AGENCIA DO TRABALHO DA PAVUNA;21525470;-43,362848;-22,805118;3,30456E+11;Pavuna
AV. SARGENTO DE MILICIAS S/N - XXV RA;60011;RIO DE JANEIRO;167;83;PAVUNA;1171;AGENCIA DO TRABALHO DA PAVUNA;21525470;-43,362848;-22,805118;3,30456E+11;Pavuna
AV. SARGENTO DE MILICIAS S/N - XXV RA;60011;RIO DE JANEIRO;167;81;PAVUNA;1171;AGENCIA DO TRABALHO DA PAVUNA;21525470;-43,362848;-22,805118;3,30456E+11;Pavuna
AUTO ESTRADA LAGOA BARRA 15-A;60011;RIO DE JANEIRO;211;181;S?O CONRADO;1295;CIEP AYRTON SENNA;22610170;-43,250807;-22,9928653;3,30456E+11;Sao Conrado
