ENDERECO_L;SECAO;ZONA;COD_MUNIC_;NM_MUNIC_T;COD_MUNI_1;NM_BAIRRO;COD_LOCALV;NUM_CEP;NM_LOCALVO;SITUACAO;lon;lat;CD_GEOCODB;NM_BAIRR_1
AV. PIRPIRITUBA 285;16;234;60011;RIO DE JANEIRO;3304557;REALENGO;89314;21760240;1_ IGREJA BATISTA EM JARDIM NOVO - REALENGO;Ativo;-43,4207085;-22,8917648;3,30456E+11;Realengo
AV. PIRPIRITUBA 285;13;234;60011;RIO DE JANEIRO;3304557;REALENGO;89314;21760240;1_ IGREJA BATISTA EM JARDIM NOVO - REALENGO;Ativo;-43,4207085;-22,8917648;3,30456E+11;Realengo
AV. PIRPIRITUBA 285;15;234;60011;RIO DE JANEIRO;3304557;REALENGO;89314;21760240;1_ IGREJA BATISTA EM JARDIM NOVO - REALENGO;Ativo;-43,4207085;-22,8917648;3,30456E+11;Realengo
AV. PIRPIRITUBA 285;14;234;60011;RIO DE JANEIRO;3304557;REALENGO;89314;21760240;1_ IGREJA BATISTA EM JARDIM NOVO - REALENGO;Ativo;-43,4207085;-22,8917648;3,30456E+11;Realengo
AV. PIRPIRITUBA 285;12;234;60011;RIO DE JANEIRO;3304557;REALENGO;89314;21760240;1_ IGREJA BATISTA EM JARDIM NOVO - REALENGO;Ativo;-43,4207085;-22,8917648;3,30456E+11;Realengo
R ASSIS CARNEIRO 520;117;10;60011;RIO DE JANEIRO;3304557;PIEDADE;88009;20740380;1A IGREJA BATISTA DA PIEDADE;Ativo;-43,3122242;-22,8943931;3,30456E+11;Piedade
R ASSIS CARNEIRO 520;280;10;60011;RIO DE JANEIRO;3304557;PIEDADE;88009;20740380;1A IGREJA BATISTA DA PIEDADE;Ativo;-43,3122242;-22,8943931;3,30456E+11;Piedade
R ASSIS CARNEIRO 520;118;10;60011;RIO DE JANEIRO;3304557;PIEDADE;88009;20740380;1A IGREJA BATISTA DA PIEDADE;Ativo;-43,3122242;-22,8943931;3,30456E+11;Piedade
R ASSIS CARNEIRO 520;119;10;60011;RIO DE JANEIRO;3304557;PIEDADE;88009;20740380;1A IGREJA BATISTA DA PIEDADE;Ativo;-43,3122242;-22,8943931;3,30456E+11;Piedade
R ASSIS CARNEIRO 520;215;10;60011;RIO DE JANEIRO;3304557;PIEDADE;88009;20740380;1A IGREJA BATISTA DA PIEDADE;Ativo;-43,3122242;-22,8943931;3,30456E+11;Piedade
RUA DESEMBARGADOR IZIDRO 41;191;7;60011;RIO DE JANEIRO;3304557;TIJUCA;2,87E+17;20521160;8_ REGIAO ADMINISTRATIVA;Ativo;-43,2328411;-22,9267811;3,30456E+11;Tijuca
RUA DESEMBARGADOR IZIDRO 41;193;7;60011;RIO DE JANEIRO;3304557;TIJUCA;2,87E+17;20521160;8_ REGIAO ADMINISTRATIVA;Ativo;-43,2328411;-22,9267811;3,30456E+11;Tijuca
RUA DESEMBARGADOR IZIDRO 41;192;7;60011;RIO DE JANEIRO;3304557;TIJUCA;2,87E+17;20521160;8_ REGIAO ADMINISTRATIVA;Ativo;-43,2328411;-22,9267811;3,30456E+11;Tijuca
RUA APIPUCOS 125;486;124;60011;RIO DE JANEIRO;3304557;BANGU;88393;21810160;A CASA DO CURUMIM;Ativo;-43,4542905;-22,8811067;3,30456E+11;Padre Miguel
RUA APIPUCOS 125;485;124;60011;RIO DE JANEIRO;3304557;BANGU;88393;21810160;A CASA DO CURUMIM;Ativo;-43,4542905;-22,8811067;3,30456E+11;Padre Miguel
RUA APIPUCOS 125;490;124;60011;RIO DE JANEIRO;3304557;BANGU;88393;21810160;A CASA DO CURUMIM;Ativo;-43,4542905;-22,8811067;3,30456E+11;Padre Miguel
RUA APIPUCOS 125;511;124;60011;RIO DE JANEIRO;3304557;BANGU;88393;21810160;A CASA DO CURUMIM;Ativo;-43,4542905;-22,8811067;3,30456E+11;Padre Miguel
RUA APIPUCOS 125;487;124;60011;RIO DE JANEIRO;3304557;BANGU;88393;21810160;A CASA DO CURUMIM;Ativo;-43,4542905;-22,8811067;3,30456E+11;Padre Miguel
RUA APIPUCOS 125;505;124;60011;RIO DE JANEIRO;3304557;BANGU;88393;21810160;A CASA DO CURUMIM;Ativo;-43,4542905;-22,8811067;3,30456E+11;Padre Miguel
RUA APIPUCOS 125;489;124;60011;RIO DE JANEIRO;3304557;BANGU;88393;21810160;A CASA DO CURUMIM;Ativo;-43,4542905;-22,8811067;3,30456E+11;Padre Miguel
RUA APIPUCOS 125;488;124;60011;RIO DE JANEIRO;3304557;BANGU;88393;21810160;A CASA DO CURUMIM;Ativo;-43,4542905;-22,8811067;3,30456E+11;Padre Miguel
AV. BORGES DE MEDEIROS 829;101;17;60011;RIO DE JANEIRO;3304557;LEBLON;88165;22470001;AABB;Ativo;-43,2169887;-22,9797095;3,30456E+11;Lagoa
AV. BORGES DE MEDEIROS 829;103;17;60011;RIO DE JANEIRO;3304557;LEBLON;88165;22470001;AABB;Ativo;-43,2169887;-22,9797095;3,30456E+11;Lagoa
AV. BORGES DE MEDEIROS 829;123;17;60011;RIO DE JANEIRO;3304557;LEBLON;88165;22470001;AABB;Ativo;-43,2169887;-22,9797095;3,30456E+11;Lagoa
AV. BORGES DE MEDEIROS 829;100;17;60011;RIO DE JANEIRO;3304557;LEBLON;88165;22470001;AABB;Ativo;-43,2169887;-22,9797095;3,30456E+11;Lagoa
AV. BORGES DE MEDEIROS 829;102;17;60011;RIO DE JANEIRO;3304557;LEBLON;88165;22470001;AABB;Ativo;-43,2169887;-22,9797095;3,30456E+11;Lagoa
AV. BORGES DE MEDEIROS 829;104;17;60011;RIO DE JANEIRO;3304557;LEBLON;88165;22470001;AABB;Ativo;-43,2169887;-22,9797095;3,30456E+11;Lagoa
AV. BORGES DE MEDEIROS 829;122;17;60011;RIO DE JANEIRO;3304557;LEBLON;88165;22470001;AABB;Ativo;-43,2169887;-22,9797095;3,30456E+11;Lagoa
AV. BORGES DE MEDEIROS 829;99;17;60011;RIO DE JANEIRO;3304557;LEBLON;88165;22470001;AABB;Ativo;-43,2169887;-22,9797095;3,30456E+11;Lagoa
AV. BORGES DE MEDEIROS 829;105;17;60011;RIO DE JANEIRO;3304557;LEBLON;88165;22470001;AABB;Ativo;-43,2169887;-22,9797095;3,30456E+11;Lagoa
AV. BORGES DE MEDEIROS 829;98;17;60011;RIO DE JANEIRO;3304557;LEBLON;88165;22470001;AABB;Ativo;-43,2169887;-22,9797095;3,30456E+11;Lagoa
RUA SILVA XAVIER 36;40;208;60011;RIO DE JANEIRO;3304557;ABOLICAO;89005;20751010;ABOLICAO VEICULOS LTDA.;Ativo;-43,3011301;-22,8846996;3,30456E+11;Abolicao
RUA SILVA XAVIER 36;75;208;60011;RIO DE JANEIRO;3304557;ABOLICAO;89005;20751010;ABOLICAO VEICULOS LTDA.;Ativo;-43,3011301;-22,8846996;3,30456E+11;Abolicao
RUA SILVA XAVIER 36;51;208;60011;RIO DE JANEIRO;3304557;ABOLICAO;89005;20751010;ABOLICAO VEICULOS LTDA.;Ativo;-43,3011301;-22,8846996;3,30456E+11;Abolicao
RUA SILVA XAVIER 36;41;208;60011;RIO DE JANEIRO;3304557;ABOLICAO;89005;20751010;ABOLICAO VEICULOS LTDA.;Ativo;-43,3011301;-22,8846996;3,30456E+11;Abolicao
RUA SILVA XAVIER 36;38;208;60011;RIO DE JANEIRO;3304557;ABOLICAO;89005;20751010;ABOLICAO VEICULOS LTDA.;Ativo;-43,3011301;-22,8846996;3,30456E+11;Abolicao
