UF;SECAO;ZONA;COD_MUNIC_TSE;COD_MUNIC_IBGE;NM_MUNIC_IBGE;COD_MUNIC_ECT;COD_BAIRRO_TSE;NM_BAIRRO;COD_BAIRRO_ECT;COD_LOCALVOTACAO_TSE;ENDERECO_LOCALVOTACAO;NUM_CEP;NM_LOCALVOTACAO;SITUACAO
MG;1;26;41238;3106200;BELO HORIZONTE;2754;1,98022E+15;SANTA TERESA;3521;13575;PCA DUQUE DE CAXIAS                    ;31010230;COLEGIO TIRADENTES DA POLICIA MILITAR;Ativo
MG;2;26;41238;3106200;BELO HORIZONTE;2754;1,98022E+15;SANTA TERESA;3521;13575;PCA DUQUE DE CAXIAS                    ;31010230;COLEGIO TIRADENTES DA POLICIA MILITAR;Ativo
MG;3;26;41238;3106200;BELO HORIZONTE;2754;1,98022E+15;HORTO;3374;13580;RUA POUSO ALEGRE   , 2382                ;31015030;ESCOLA ESTADUAL SANDOVAL DE AZEVEDO;Ativo
MG;4;26;41238;3106200;BELO HORIZONTE;2754;1,98022E+15;HORTO;3374;13580;RUA POUSO ALEGRE   , 2382                ;31015030;ESCOLA ESTADUAL SANDOVAL DE AZEVEDO;Ativo
MG;5;26;41238;3106200;BELO HORIZONTE;2754;1,98022E+15;FLORESTA;3361;13591;RUA PONTE NOVA,665-FONE3429-7200;31110150;COLEGIO BATISTA MINEIRO;Ativo
MG;6;26;41238;3106200;BELO HORIZONTE;2754;1,98022E+15;FLORESTA;3361;13591;RUA PONTE NOVA,665-FONE3429-7200;31110150;COLEGIO BATISTA MINEIRO;Ativo
MG;7;26;41238;3106200;BELO HORIZONTE;2754;1,98022E+15;FLORESTA;3361;13591;RUA PONTE NOVA,665-FONE3429-7200;31110150;COLEGIO BATISTA MINEIRO;Ativo
MG;8;26;41238;3106200;BELO HORIZONTE;2754;1,98022E+15;FLORESTA;3361;13591;RUA PONTE NOVA,665-FONE3429-7200;31110150;COLEGIO BATISTA MINEIRO;Ativo
MG;9;26;41238;3106200;BELO HORIZONTE;2754;1,98022E+15;FLORESTA;3361;13591;RUA PONTE NOVA,665-FONE3429-7200;31110150;COLEGIO BATISTA MINEIRO;Ativo
MG;10;26;41238;3106200;BELO HORIZONTE;2754;1,98022E+15;FLORESTA;3361;13591;RUA PONTE NOVA,665-FONE3429-7200;31110150;COLEGIO BATISTA MINEIRO;Ativo
