UF;SECAO;ZONA;COD_MUNIC_TSE;NM_MUNIC_TSE;COD_MUNIC_IBGE;NM_MUNIC_IBGE;CAPITAL;COD_MUNIC_ECT;COD_BAIRRO_TSE;NM_BAIRRO;COD_BAIRRO_ECT;COD_LOCALVOTACAO_TSE;ENDERECO_LOCALVOTACAO;NUM_CEP;NM_LOCALVOTACAO;SITUACAO
SP;1;1;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;BELA VISTA;25243;38094;AV PAULISTA, 900;1310100;COLEGIO OBJETIVO;Ativo
SP;1;2;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;AGUA BRANCA;25219;38067;AV. FRANCISCO MATARAZZO, 913;5001000;COLÉGIO DAS AMÉRICAS;Ativo
SP;1;3;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;CENTRO;25279;38030;LARGO DE SAO BENTO, S/N;1029010;COLEGIO DE SAO BENTO;Ativo
SP;1;4;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;MOOCA;26276;38031;R DA MOOCA, 363;3103000;EE PROF ANTONIO FIRMINO DE PROENCA;Ativo
SP;1;5;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM AMERICA;25501;38006;R. ESTADOS UNIDOS, 1339;1427001;CLUBE ATLÉTICO PAULISTANO;Ativo
SP;1;6;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA MARIANA;26858;37973;R DONA JULIA, 37;4117020;EE MAL FLORIANO;Ativo
SP;1;20;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;CONJUNTO RESIDENCIAL FAZZIONI;26742;34763;RUA JOÃO ANDRE LEYSE, 100;5884100;EE YOSHIO NINOMIYA;Ativo
SP;1;246;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;SANTO AMARO;26491;36574;AVENIDA MARIO LOPES LEAO, 120;4754010;EE ALBERTO CONTE;Ativo
SP;1;247;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;PARQUE SONIA;26426;0105B028001924;R JULIÃO PEREIRA MACHADO,60-A;8020020;EE ENGENHEIRO HUGO TAKAHASHI;Ativo
SP;1;248;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA CARMOSINA;26647;36486;RUA PORTO XAVIER, 172;8210170;EE PROFA EMILIA DE PAIVA MEIRA;Ativo
SP;1;249;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;SANTANA;26490;36449;R VOLUNTARIOS DA PATRIA,  1653;2011300;COLEGIO LUIZA DE MARILLAC;Ativo
SP;1;250;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;LAPA DE BAIXO;26262;36413;LARGO DA LAPA, 124;5069030;EE GUILHERME KUHLMANN;Ativo
SP;1;251;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;PINHEIROS;26442;36353;AVENIDA PEDROSO DE MORAIS, 420;5420000;EE FERNAO DIAS PAES;Ativo
SP;1;252;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA CARLOS DE CAMPOS;26645;36325;AV DR ORENCIO VIDIGAL, 212;3640010;ETE PROF APRIGIO GONZAGA;Ativo
SP;1;253;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;TATUAPE;26530;36299;RUA FELIPE CAMARÃO, 350;3065000;EE OSWALDO CATALANO;Ativo
SP;1;254;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA MARIA;26850;36262;AV GUILHERME COTCHING, 1272;2113012;EE JOAO VIEIRA DE ALMEIDA;Ativo
SP;1;255;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;E5cb10020917582209;JARDIM DAS LARANJEIRAS;;36238;RUA IATAI, 7;2517050;COLEGIO NOSSA SENHORA DAS DORES;Ativo
SP;1;256;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;TUCURUVI;26535;E48a12032016003944;AV. NOVA CANTAREIRA, 2724;2340000;INSTITUTO EDUCACIONAL SANTA JOANA D'ARC;Ativo
SP;1;257;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA PRUDENTE;26978;36176;R JOSE ZAPPI, 165;3128140;COLEGIO JOAO XXIII;Ativo
SP;1;258;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;INDIANOPOLIS;25461;36132;AV IRAI, 297;4082000;UNIVERSIDADE IBIRAPUERA - UNIB;Ativo
SP;1;259;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;2,84403E+17;VILA AFONSO CELSO;;36102;RUA DOMINGOS DE MORAIS, 2565;4035000;COLEGIO ARQUIDIOCESANO;Ativo
SP;1;260;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;IPIRANGA;25464;36057;RUA SILVA BUENO, 1412;4208001;EE VISCONDE ITAUNA;Ativo
SP;1;280;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;SOCORRO;26524;35835;AV DE PINEDO, 777;4764001;EE  PROF ITURBIDES BOLIVAR DE ALMEIDA SERRA;Ativo
SP;1;326;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA RICA;26992;35380;AVENIDA DOUTOR ASSIS RIBEIRO, 8402;3717000;EE PROFESSORA BENEDITA DE REZENDE;Ativo
SP;1;328;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM BOM REFUGIO;25553;35302;RUA JOSE VIRIATO DE CASTRO, 63;5786110;EMEF LEONARDO VILLAS BOAS;Ativo
SP;1;347;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA ARICANDUVA;26586;35138;R DR LUIS CARLOS, 740;3505000;EE DONA ZALINA ROLIM;Ativo
SP;1;348;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA FORMOSA;26750;35086;R ACURUI, 700;3355000;EMEF PRESIDENTE KENNEDY;Ativo
SP;1;349;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JACANA;25472;35082;AV GUAPIRA, 2862;2265002;EE JULIO PESTANA;Ativo
SP;1;350;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM ADUTORA;25479;35039;AVENIDA SAPOPEMBA, 7763;3988010;EEPG PROF VITOR MIGUEL ROMANO;Ativo
SP;1;351;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;CIDADE ADEMAR;25330;34994;RUA ENGENHEIRO EMILIO SAAD, 50;4405020;EE PROFA JUVENTINA PATRICIA SANT'ANNA;Ativo
SP;1;352;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA SIMONE;27053;34959;RUA ALFREDO MOREIRA PINTO, S/N;8110220;EE PROF ARMANDO GOMES DE ARAUJO;Ativo
SP;1;353;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;E87a09092115340401;JARDIM SÃO PAULO (ZONA LESTE);;34930;AVENIDA MIGUEL ACHIOLE DA FONSECA S/N;8461110;EE PROF LUIZ ROSANOVA;Ativo
SP;1;371;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;CONJUNTO HABITACIONAL BRIGADEIRO FARIA LIMA;25376;34803;RUA SAO JOSE DO RIO PRETO, 17;4840460;EMEF. JOAQUIM BENTO ALVES DE LIMA NETO;Ativo
SP;1;372;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM FIGUEIRA GRANDE;25724;2,85903E+17;RUA BONIFACIO DE MONTFERRAT,143;5831040;CEI JARDIM KLEIN;Ativo
SP;1;374;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;BUTANTA;25256;E3a408040118182332;AV DR. VITAL BRASIL, 1000;5503001;UNIVERSIDADE SÃO JUDAS TADEU - CAMPUS BUTANTÃ;Ativo
SP;1;375;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;SÃO MATEUS;26496;34689;RUA ANTONIO PREVIATO, 1385;3958010;EE ALFREDO MACHADO PEDROSA;Ativo
SP;1;376;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM MARISTELA;25912;34663;ESTRADA DO SABAO, 1497;2806000;EE JOAO SOLIMEO;Ativo
SP;1;381;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM FLORESTA;25727;34828;R ANTONIO BORGES DA FONSECA, 15;4836120;EM OLEGARIO MARIANO;Ativo
SP;1;389;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA SOUZA;27063;35422;AV DEPUTADO CANTIDIO SAMPAIO, 6803;2860001;EE GENERAL HUMBERTO DE SOUZA MELO;Ativo
SP;1;390;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;CANGAÍBA;25264;35336;RUA GUIRA ACANGATARA, 27;3719000;EE ANNE FRANK;Ativo
SP;1;392;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;BURGO PAULISTA;25255;35341;RUA CONCEICAO DO CASTELO, 64;3681020;EE THEREZA DOROTHEA DE ARRUDA REGO;Ativo
SP;1;397;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;PARQUE PAULISTANO;26384;36526;RUA SANTA ROSA DE LIMA, 591;8080000;EE DR DIOGO DE FARIA;Ativo
SP;1;398;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;PARQUE CRUZEIRO DO SUL;26322;36545;RUA JOÃO MARTINS, 48;8070330;COLEGIO DOTTORI - UNIDADE I;Ativo
SP;1;403;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM VISTA LINDA;26247;35429;R BELO JARDIM, 674;5159200;EE PROFA ZENAIDE VILALVA DE ARAUJO;Ativo
SP;1;404;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;E5cb10020917582209;JARDIM DAS LARANJEIRAS;;34932;RUA PIRAMIDE DOS PIQUES SN;8380370;EE ANTONIETA DE SOUZA ALCANTARA;Ativo
SP;1;405;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;E12510021116402171;JARDIM SÃO PEDRO;;34933;R LUIS MEDEIROS DA SILVA, 130;8420650;EMEF BENEDITO CALIXTO;Ativo
SP;1;408;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;2,84203E+17;JARDIM SAO LUIS (ZONA OESTE);26146;35284;R ANTONIO RAMOS ROSA, 100;5822010;EE REVERENDO JACQUES ORLANDO CAMINHA D AVILA;Ativo
SP;1;413;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM DA SAUDE;25635;36091;RUA FILIPE CARDOSO, 554    ;4149080;EE DEP RUBENS DO AMARAL;Ativo
SP;1;417;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM NOSSA SENHORA DO CARMO;25970;36490;RUA VENANCIO LISBOA, 382;8280590;EE CIDADE DE HIROSHIMA;Ativo
SP;1;418;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM MARTINI;25916;E8a607082813443130;RUA ENGENHEIRO JOÃO LANG, N. 100;4439070;EMEF PRESTES MAIA;Ativo
SP;1;420;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;PARQUE EDU CHAVES;26341;35059;RUA MAJOR BARACCA 584;2232000;EE GABRIELA MISTRAL;Ativo
SP;1;421;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;PARQUE SANTA MADALENA;26408;35041;RUA ALM OTACILIO CUNHA, 325;3982190;EM BRASILIO MACHADO NETO;Ativo
SP;1;422;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM PICOLO;26021;36437;AVENIDA GUACA, 1382;2435001;EE ALM VISCONDE DE INHAUMA;Ativo
SP;2;1;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;BELA VISTA;25243;38094;AV PAULISTA, 900;1310100;COLEGIO OBJETIVO;Ativo
SP;2;2;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;AGUA BRANCA;25219;38067;AV. FRANCISCO MATARAZZO, 913;5001000;COLÉGIO DAS AMÉRICAS;Ativo
SP;2;3;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;CENTRO;25279;38030;LARGO DE SAO BENTO, S/N;1029010;COLEGIO DE SAO BENTO;Ativo
SP;2;4;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;MOOCA;26276;38031;R DA MOOCA, 363;3103000;EE PROF ANTONIO FIRMINO DE PROENCA;Ativo
SP;2;5;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM AMERICA;25501;38006;R. ESTADOS UNIDOS, 1339;1427001;CLUBE ATLÉTICO PAULISTANO;Ativo
SP;2;6;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA MARIANA;26858;37973;R DONA JULIA, 37;4117020;EE MAL FLORIANO;Ativo
SP;2;20;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;CONJUNTO RESIDENCIAL FAZZIONI;26742;34763;RUA JOÃO ANDRE LEYSE, 100;5884100;EE YOSHIO NINOMIYA;Ativo
SP;2;246;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;SANTO AMARO;26491;36574;AVENIDA MARIO LOPES LEAO, 120;4754010;EE ALBERTO CONTE;Ativo
SP;2;247;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;PARQUE SONIA;26426;0105B028001924;R JULIÃO PEREIRA MACHADO,60-A;8020020;EE ENGENHEIRO HUGO TAKAHASHI;Ativo
SP;2;248;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA CARMOSINA;26647;36486;RUA PORTO XAVIER, 172;8210170;EE PROFA EMILIA DE PAIVA MEIRA;Ativo
SP;2;249;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;SANTANA;26490;36449;R VOLUNTARIOS DA PATRIA,  1653;2011300;COLEGIO LUIZA DE MARILLAC;Ativo
SP;2;250;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;LAPA DE BAIXO;26262;36413;LARGO DA LAPA, 124;5069030;EE GUILHERME KUHLMANN;Ativo
SP;2;251;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;PINHEIROS;26442;36353;AVENIDA PEDROSO DE MORAIS, 420;5420000;EE FERNAO DIAS PAES;Ativo
SP;2;252;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA CARLOS DE CAMPOS;26645;36325;AV DR ORENCIO VIDIGAL, 212;3640010;ETE PROF APRIGIO GONZAGA;Ativo
SP;2;253;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;TATUAPE;26530;36299;RUA FELIPE CAMARÃO, 350;3065000;EE OSWALDO CATALANO;Ativo
SP;2;254;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA MARIA;26850;36262;AV GUILHERME COTCHING, 1272;2113012;EE JOAO VIEIRA DE ALMEIDA;Ativo
SP;2;255;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;E5cb10020917582209;JARDIM DAS LARANJEIRAS;;36238;RUA IATAI, 7;2517050;COLEGIO NOSSA SENHORA DAS DORES;Ativo
SP;2;256;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;TUCURUVI;26535;E48a12032016003944;AV. NOVA CANTAREIRA, 2724;2340000;INSTITUTO EDUCACIONAL SANTA JOANA D'ARC;Ativo
SP;2;257;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA PRUDENTE;26978;36176;R JOSE ZAPPI, 165;3128140;COLEGIO JOAO XXIII;Ativo
SP;2;258;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;INDIANOPOLIS;25461;36132;AV IRAI, 297;4082000;UNIVERSIDADE IBIRAPUERA - UNIB;Ativo
SP;2;259;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;2,84403E+17;VILA AFONSO CELSO;;36102;RUA DOMINGOS DE MORAIS, 2565;4035000;COLEGIO ARQUIDIOCESANO;Ativo
SP;2;260;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;IPIRANGA;25464;36057;RUA SILVA BUENO, 1412;4208001;EE VISCONDE ITAUNA;Ativo
SP;2;280;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;SOCORRO;26524;35835;AV DE PINEDO, 777;4764001;EE  PROF ITURBIDES BOLIVAR DE ALMEIDA SERRA;Ativo
SP;2;326;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA RICA;26992;35380;AVENIDA DOUTOR ASSIS RIBEIRO, 8402;3717000;EE PROFESSORA BENEDITA DE REZENDE;Ativo
SP;2;328;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM BOM REFUGIO;25553;35302;RUA JOSE VIRIATO DE CASTRO, 63;5786110;EMEF LEONARDO VILLAS BOAS;Ativo
SP;2;347;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA ARICANDUVA;26586;35138;R DR LUIS CARLOS, 740;3505000;EE DONA ZALINA ROLIM;Ativo
SP;2;348;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA FORMOSA;26750;35086;R ACURUI, 700;3355000;EMEF PRESIDENTE KENNEDY;Ativo
SP;2;349;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JACANA;25472;35082;AV GUAPIRA, 2862;2265002;EE JULIO PESTANA;Ativo
SP;2;350;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM ADUTORA;25479;35039;AVENIDA SAPOPEMBA, 7763;3988010;EEPG PROF VITOR MIGUEL ROMANO;Ativo
SP;2;351;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;CIDADE ADEMAR;25330;34994;RUA ENGENHEIRO EMILIO SAAD, 50;4405020;EE PROFA JUVENTINA PATRICIA SANT'ANNA;Ativo
SP;2;352;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA SIMONE;27053;34959;RUA ALFREDO MOREIRA PINTO, S/N;8110220;EE PROF ARMANDO GOMES DE ARAUJO;Ativo
SP;2;353;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;E87a09092115340401;JARDIM SÃO PAULO (ZONA LESTE);;34930;AVENIDA MIGUEL ACHIOLE DA FONSECA S/N;8461110;EE PROF LUIZ ROSANOVA;Ativo
SP;2;371;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;CONJUNTO HABITACIONAL BRIGADEIRO FARIA LIMA;25376;34803;RUA SAO JOSE DO RIO PRETO, 17;4840460;EMEF. JOAQUIM BENTO ALVES DE LIMA NETO;Ativo
SP;2;372;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM FIGUEIRA GRANDE;25724;2,85903E+17;RUA BONIFACIO DE MONTFERRAT,143;5831040;CEI JARDIM KLEIN;Ativo
SP;2;374;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;BUTANTA;25256;E3a408040118182332;AV DR. VITAL BRASIL, 1000;5503001;UNIVERSIDADE SÃO JUDAS TADEU - CAMPUS BUTANTÃ;Ativo
SP;2;375;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;SÃO MATEUS;26496;34689;RUA ANTONIO PREVIATO, 1385;3958010;EE ALFREDO MACHADO PEDROSA;Ativo
SP;2;376;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM MARISTELA;25912;34663;ESTRADA DO SABAO, 1497;2806000;EE JOAO SOLIMEO;Ativo
SP;2;381;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM FLORESTA;25727;34828;R ANTONIO BORGES DA FONSECA, 15;4836120;EM OLEGARIO MARIANO;Ativo
SP;2;389;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;VILA SOUZA;27063;35422;AV DEPUTADO CANTIDIO SAMPAIO, 6803;2860001;EE GENERAL HUMBERTO DE SOUZA MELO;Ativo
SP;2;390;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;CANGAÍBA;25264;35336;RUA GUIRA ACANGATARA, 27;3719000;EE ANNE FRANK;Ativo
SP;2;392;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;BURGO PAULISTA;25255;35341;RUA CONCEICAO DO CASTELO, 64;3681020;EE THEREZA DOROTHEA DE ARRUDA REGO;Ativo
SP;2;397;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;PARQUE PAULISTANO;26384;36526;RUA SANTA ROSA DE LIMA, 591;8080000;EE DR DIOGO DE FARIA;Ativo
SP;2;398;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;PARQUE CRUZEIRO DO SUL;26322;36545;RUA JOÃO MARTINS, 48;8070330;COLEGIO DOTTORI - UNIDADE I;Ativo
